Current Pose: X: -0.002273, Y: -0.106732, Z: -0.220863, Yaw: 1.939746, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.010228, Y: 0.480293, Z: 0.993883, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 0.002273, Y: 0.106732, Z: 0.220863, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1238933
Current Pose: X: -0.002200, Y: -0.106793, Z: -0.221934, Yaw: 1.939864, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.001945, Y: 0.107009, Z: 0.777842, Velocity_in: X: 0.002378, Y: -0.000506, Z: -0.000303, Error: X: 0.002200, Y: 0.106793, Z: 0.221934, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1238984
Current Pose: X: -0.002123, Y: -0.106855, Z: -0.222884, Yaw: 1.939922, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.001854, Y: 0.107069, Z: 0.781042, Velocity_in: X: 0.002270, Y: -0.000632, Z: -0.000182, Error: X: 0.002123, Y: 0.106855, Z: 0.222884, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1239048
Current Pose: X: -0.001958, Y: -0.107113, Z: -0.224918, Yaw: 1.939922, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.001379, Y: 0.108018, Z: 0.789248, Velocity_in: X: 0.002082, Y: -0.001035, Z: -0.000569, Error: X: 0.001958, Y: 0.107113, Z: 0.224918, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1239082
Current Pose: X: -0.001950, Y: -0.107174, Z: -0.225248, Yaw: 1.939738, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.001923, Y: 0.107387, Z: 0.788696, Velocity_in: X: 0.001474, Y: -0.000109, Z: -0.000526, Error: X: 0.001950, Y: 0.107174, Z: 0.225248, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1239097
Current Pose: X: -0.001948, Y: -0.107262, Z: -0.225659, Yaw: 1.939745, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.001943, Y: 0.107571, Z: 0.790216, Velocity_in: X: 0.001437, Y: 0.000117, Z: -0.000712, Error: X: 0.001948, Y: 0.107262, Z: 0.225659, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1239154
Current Pose: X: -0.001943, Y: -0.107348, Z: -0.226045, Yaw: 1.939745, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.001925, Y: 0.107651, Z: 0.791543, Velocity_in: X: 0.001598, Y: -0.000027, Z: -0.000934, Error: X: 0.001943, Y: 0.107348, Z: 0.226045, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1239167
Current Pose: X: -0.001918, Y: -0.107496, Z: -0.226612, Yaw: 1.939745, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.001831, Y: 0.108013, Z: 0.793711, Velocity_in: X: 0.001313, Y: -0.000171, Z: -0.000476, Error: X: 0.001918, Y: 0.107496, Z: 0.226612, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1239185
Current Pose: X: -0.001871, Y: -0.107631, Z: -0.227233, Yaw: 1.939666, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.001706, Y: 0.108105, Z: 0.795934, Velocity_in: X: 0.001217, Y: -0.000473, Z: -0.000549, Error: X: 0.001871, Y: 0.107631, Z: 0.227233, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1239245
Current Pose: X: -0.001844, Y: -0.107727, Z: -0.227628, Yaw: 1.939666, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.001750, Y: 0.108061, Z: 0.797092, Velocity_in: X: 0.000692, Y: -0.000621, Z: 0.000055, Error: X: 0.001844, Y: 0.107727, Z: 0.227628, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1239265
Current Pose: X: -0.001835, Y: -0.107827, Z: -0.227984, Yaw: 1.939666, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.001803, Y: 0.108179, Z: 0.798302, Velocity_in: X: 0.000518, Y: -0.000402, Z: -0.000249, Error: X: 0.001835, Y: 0.107827, Z: 0.227984, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1239285
Current Pose: X: -0.001839, Y: -0.108008, Z: -0.228592, Yaw: 1.939666, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.001854, Y: 0.108640, Z: 0.800678, Velocity_in: X: 0.000454, Y: -0.000249, Z: -0.000190, Error: X: 0.001839, Y: 0.108008, Z: 0.228592, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1239315
Current Pose: X: -0.001846, Y: -0.108118, Z: -0.228882, Yaw: 1.939666, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.001872, Y: 0.108501, Z: 0.801379, Velocity_in: X: 0.000494, Y: 0.000018, Z: 0.000057, Error: X: 0.001846, Y: 0.108118, Z: 0.228882, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1239343
Current Pose: X: -0.001921, Y: -0.108783, Z: -0.230685, Yaw: 1.939982, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.002184, Y: 0.111111, Z: 0.809198, Velocity_in: X: -0.000016, Y: -0.000054, Z: 0.000742, Error: X: 0.001921, Y: 0.108783, Z: 0.230685, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1239500
