Current Pose: X: -1.263891, Y: -2.162656, Z: 0.627488, Yaw: 1.652401, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 5.687508, Y: 9.731952, Z: -2.823695, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 1.263891, Y: 2.162656, Z: -0.627488, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021397
Current Pose: X: -1.263817, Y: -2.162668, Z: 0.627501, Yaw: 1.652423, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263561, Y: 2.162709, Z: -2.196265, Velocity_in: X: -0.000703, Y: -0.001262, Z: 0.001689, Error: X: 1.263817, Y: 2.162668, Z: -0.627501, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021429
Current Pose: X: -1.263751, Y: -2.162685, Z: 0.627455, Yaw: 1.652418, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263519, Y: 2.162745, Z: -2.196045, Velocity_in: X: -0.000388, Y: -0.001106, Z: 0.001370, Error: X: 1.263751, Y: 2.162685, Z: -0.627455, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021466
Current Pose: X: -1.263674, Y: -2.162672, Z: 0.627364, Yaw: 1.652405, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263402, Y: 2.162625, Z: -2.195685, Velocity_in: X: -0.000417, Y: -0.000392, Z: 0.001252, Error: X: 1.263674, Y: 2.162672, Z: -0.627364, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021495
Current Pose: X: -1.263602, Y: -2.162659, Z: 0.627271, Yaw: 1.652437, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263351, Y: 2.162614, Z: -2.195356, Velocity_in: X: -0.000232, Y: -0.000504, Z: 0.001585, Error: X: 1.263602, Y: 2.162659, Z: -0.627271, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021531
Current Pose: X: -1.263562, Y: -2.162652, Z: 0.627238, Yaw: 1.652514, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263424, Y: 2.162628, Z: -2.195301, Velocity_in: X: 0.000018, Y: -0.000540, Z: 0.001467, Error: X: 1.263562, Y: 2.162652, Z: -0.627238, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021564
Current Pose: X: -1.263522, Y: -2.162648, Z: 0.627186, Yaw: 1.652552, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263380, Y: 2.162637, Z: -2.195100, Velocity_in: X: 0.000111, Y: -0.000446, Z: 0.001669, Error: X: 1.263522, Y: 2.162648, Z: -0.627186, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021597
Current Pose: X: -1.263475, Y: -2.162638, Z: 0.627126, Yaw: 1.652552, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263310, Y: 2.162600, Z: -2.194881, Velocity_in: X: 0.000000, Y: -0.000718, Z: 0.001722, Error: X: 1.263475, Y: 2.162638, Z: -0.627126, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021630
Current Pose: X: -1.263426, Y: -2.162627, Z: 0.627178, Yaw: 1.652517, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263254, Y: 2.162588, Z: -2.195174, Velocity_in: X: 0.000368, Y: -0.000963, Z: 0.001487, Error: X: 1.263426, Y: 2.162627, Z: -0.627178, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021664
Current Pose: X: -1.263372, Y: -2.162618, Z: 0.627238, Yaw: 1.652550, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263182, Y: 2.162587, Z: -2.195392, Velocity_in: X: 0.000587, Y: -0.001010, Z: 0.001173, Error: X: 1.263372, Y: 2.162618, Z: -0.627238, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021696
Current Pose: X: -1.263332, Y: -2.162619, Z: 0.627283, Yaw: 1.652491, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263193, Y: 2.162623, Z: -2.195535, Velocity_in: X: 0.000503, Y: -0.000902, Z: 0.000832, Error: X: 1.263332, Y: 2.162619, Z: -0.627283, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021729
Current Pose: X: -1.263295, Y: -2.162613, Z: 0.627285, Yaw: 1.652518, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263166, Y: 2.162590, Z: -2.195502, Velocity_in: X: 0.000244, Y: -0.001245, Z: 0.000918, Error: X: 1.263295, Y: 2.162613, Z: -0.627285, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021763
Current Pose: X: -1.263257, Y: -2.162588, Z: 0.627238, Yaw: 1.652483, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263125, Y: 2.162502, Z: -2.195284, Velocity_in: X: 0.000481, Y: -0.001581, Z: 0.000524, Error: X: 1.263257, Y: 2.162588, Z: -0.627238, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021795
Current Pose: X: -1.263225, Y: -2.162586, Z: 0.627253, Yaw: 1.652493, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263111, Y: 2.162577, Z: -2.195402, Velocity_in: X: 0.000572, Y: -0.001465, Z: 0.000227, Error: X: 1.263225, Y: 2.162586, Z: -0.627253, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021831
Current Pose: X: -1.263217, Y: -2.162589, Z: 0.627262, Yaw: 1.652485, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263190, Y: 2.162601, Z: -2.195426, Velocity_in: X: 0.000691, Y: -0.001087, Z: 0.000398, Error: X: 1.263217, Y: 2.162589, Z: -0.627262, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1021864
