Current Pose: X: 0.133292, Y: -0.627954, Z: 0.212408, Yaw: 1.583862, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.599813, Y: 2.825795, Z: -0.955837, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: -0.133292, Y: 0.627954, Z: -0.212408, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198081
Current Pose: X: 0.133283, Y: -0.628063, Z: 0.212291, Yaw: 1.583854, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133254, Y: 0.628445, Z: -0.742901, Velocity_in: X: -0.002361, Y: 0.001118, Z: 0.000711, Error: X: -0.133283, Y: 0.628063, Z: -0.212291, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198114
Current Pose: X: 0.133274, Y: -0.628201, Z: 0.212117, Yaw: 1.583862, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133239, Y: 0.628682, Z: -0.742235, Velocity_in: X: -0.002508, Y: 0.001054, Z: 0.000725, Error: X: -0.133274, Y: 0.628201, Z: -0.212117, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198148
Current Pose: X: 0.133267, Y: -0.628303, Z: 0.211974, Yaw: 1.583855, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133243, Y: 0.628661, Z: -0.741768, Velocity_in: X: -0.002568, Y: 0.001029, Z: 0.000572, Error: X: -0.133267, Y: 0.628303, Z: -0.211974, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198183
Current Pose: X: 0.133261, Y: -0.628404, Z: 0.211746, Yaw: 1.583843, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133239, Y: 0.628757, Z: -0.740884, Velocity_in: X: -0.002700, Y: 0.000926, Z: 0.000565, Error: X: -0.133261, Y: 0.628404, Z: -0.211746, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198212
Current Pose: X: 0.133275, Y: -0.628527, Z: 0.211473, Yaw: 1.583844, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133325, Y: 0.628958, Z: -0.739882, Velocity_in: X: -0.002743, Y: 0.000825, Z: 0.000519, Error: X: -0.133275, Y: 0.628527, Z: -0.211473, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198248
Current Pose: X: 0.133294, Y: -0.628610, Z: 0.211286, Yaw: 1.583839, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133360, Y: 0.628899, Z: -0.739313, Velocity_in: X: -0.002543, Y: 0.000708, Z: 0.000421, Error: X: -0.133294, Y: 0.628610, Z: -0.211286, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198281
Current Pose: X: 0.133313, Y: -0.628684, Z: 0.211101, Yaw: 1.583835, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133381, Y: 0.628946, Z: -0.738668, Velocity_in: X: -0.002550, Y: 0.000549, Z: 0.000450, Error: X: -0.133313, Y: 0.628684, Z: -0.211101, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198314
Current Pose: X: 0.133343, Y: -0.628773, Z: 0.210876, Yaw: 1.583832, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133449, Y: 0.629083, Z: -0.737843, Velocity_in: X: -0.002321, Y: 0.000480, Z: 0.000349, Error: X: -0.133343, Y: 0.628773, Z: -0.210876, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198348
Current Pose: X: 0.133369, Y: -0.628833, Z: 0.210760, Yaw: 1.583839, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133458, Y: 0.629045, Z: -0.737542, Velocity_in: X: -0.002345, Y: 0.000305, Z: 0.000386, Error: X: -0.133369, Y: 0.628833, Z: -0.210760, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198380
Current Pose: X: 0.133396, Y: -0.628888, Z: 0.210694, Yaw: 1.583826, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.133491, Y: 0.629080, Z: -0.737364, Velocity_in: X: -0.002347, Y: 0.000193, Z: 0.000235, Error: X: -0.133396, Y: 0.628888, Z: -0.210694, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1198413
