Current Pose: X: 0.063042, Y: -0.444835, Z: -1.054366, Yaw: -3.061277, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.283688, Y: 2.001757, Z: 4.744646, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: -0.063042, Y: 0.444835, Z: 1.054366, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 292812
Current Pose: X: 0.063088, Y: -0.444853, Z: -1.054183, Yaw: -3.061295, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.063250, Y: 0.444918, Z: 3.689458, Velocity_in: X: -0.001464, Y: 0.001087, Z: 0.005413, Error: X: -0.063088, Y: 0.444853, Z: 1.054183, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 292858
Current Pose: X: 0.063142, Y: -0.444868, Z: -1.053966, Yaw: -3.061283, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.063332, Y: 0.444918, Z: 3.688665, Velocity_in: X: -0.001582, Y: 0.001360, Z: 0.005589, Error: X: -0.063142, Y: 0.444868, Z: 1.053966, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 292917
Current Pose: X: 0.063174, Y: -0.444883, Z: -1.053962, Yaw: -3.061270, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.063285, Y: 0.444935, Z: 3.688863, Velocity_in: X: -0.001479, Y: 0.001099, Z: 0.005243, Error: X: -0.063174, Y: 0.444883, Z: 1.053962, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 292985
Current Pose: X: 0.063229, Y: -0.444925, Z: -1.054061, Yaw: -3.061292, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.063420, Y: 0.445073, Z: 3.689314, Velocity_in: X: -0.001486, Y: 0.001157, Z: 0.005228, Error: X: -0.063229, Y: 0.444925, Z: 1.054061, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293048
Current Pose: X: 0.063429, Y: -0.445069, Z: -1.054656, Yaw: -3.061190, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.064129, Y: 0.445572, Z: 3.691890, Velocity_in: X: -0.002159, Y: 0.001573, Z: 0.005097, Error: X: -0.063429, Y: 0.445069, Z: 1.054656, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293266
Current Pose: X: 0.063500, Y: -0.445113, Z: -1.054748, Yaw: -3.061195, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.063751, Y: 0.445268, Z: 3.691712, Velocity_in: X: -0.002206, Y: 0.001739, Z: 0.005552, Error: X: -0.063500, Y: 0.445113, Z: 1.054748, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293314
Current Pose: X: 0.063554, Y: -0.445153, Z: -1.054851, Yaw: -3.061158, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.063743, Y: 0.445291, Z: 3.692080, Velocity_in: X: -0.002610, Y: 0.001964, Z: 0.005787, Error: X: -0.063554, Y: 0.445153, Z: 1.054851, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293367
Current Pose: X: 0.063628, Y: -0.445215, Z: -1.054970, Yaw: -3.061198, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.063885, Y: 0.445433, Z: 3.692515, Velocity_in: X: -0.002403, Y: 0.002406, Z: 0.005949, Error: X: -0.063628, Y: 0.445215, Z: 1.054970, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293436
Current Pose: X: 0.063789, Y: -0.445563, Z: -1.055691, Yaw: -3.061125, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.064354, Y: 0.446781, Z: 3.695638, Velocity_in: X: -0.002546, Y: 0.002154, Z: 0.005761, Error: X: -0.063789, Y: 0.445563, Z: 1.055691, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293634
Current Pose: X: 0.063823, Y: -0.445650, Z: -1.055827, Yaw: -3.061125, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.063943, Y: 0.445955, Z: 3.695530, Velocity_in: X: -0.002328, Y: 0.002496, Z: 0.005228, Error: X: -0.063823, Y: 0.445650, Z: 1.055827, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293659
