Current Pose: X: -0.234511, Y: -0.657694, Z: -0.857044, Yaw: 1.441277, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.527649, Y: 1.479811, Z: 2.185463, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 0.234511, Y: 0.657694, Z: 0.857044, Kp: 0.700000, Ki: 0.050000, Kd: 1.500000, Kp_z: 2.000000, Ki_z: 0.050000, Kd_z: 0.500000, Kp_yaw: 0.700000, Ki_yaw: 0.050000, Kd_yaw: 1.000000, Time: 405901
Current Pose: X: -0.234535, Y: -0.657738, Z: -0.857079, Yaw: 1.441277, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.187663, Y: 0.526255, Z: 1.799881, Velocity_in: X: -0.001483, Y: 0.000473, Z: 0.006237, Error: X: 0.234535, Y: 0.657738, Z: 0.857079, Kp: 0.700000, Ki: 0.050000, Kd: 1.500000, Kp_z: 2.000000, Ki_z: 0.050000, Kd_z: 0.500000, Kp_yaw: 0.700000, Ki_yaw: 0.050000, Kd_yaw: 1.000000, Time: 405933
Current Pose: X: -0.234557, Y: -0.657797, Z: -0.857075, Yaw: 1.441271, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.199403, Y: 0.559207, Z: 1.842709, Velocity_in: X: -0.001447, Y: 0.000564, Z: 0.006254, Error: X: 0.234557, Y: 0.657797, Z: 0.857075, Kp: 0.700000, Ki: 0.050000, Kd: 1.500000, Kp_z: 2.000000, Ki_z: 0.050000, Kd_z: 0.500000, Kp_yaw: 0.700000, Ki_yaw: 0.050000, Kd_yaw: 1.000000, Time: 405973
Current Pose: X: -0.234563, Y: -0.657840, Z: -0.857044, Yaw: 1.441266, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.211111, Y: 0.592108, Z: 1.885484, Velocity_in: X: -0.001371, Y: 0.000573, Z: 0.006327, Error: X: 0.234563, Y: 0.657840, Z: 0.857044, Kp: 0.700000, Ki: 0.050000, Kd: 1.500000, Kp_z: 2.000000, Ki_z: 0.050000, Kd_z: 0.500000, Kp_yaw: 0.700000, Ki_yaw: 0.050000, Kd_yaw: 1.000000, Time: 406001
Current Pose: X: -0.234569, Y: -0.657884, Z: -0.856976, Yaw: 1.441261, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.222844, Y: 0.625033, Z: 1.928179, Velocity_in: X: -0.001298, Y: 0.000576, Z: 0.006405, Error: X: 0.234569, Y: 0.657884, Z: 0.856976, Kp: 0.700000, Ki: 0.050000, Kd: 1.500000, Kp_z: 2.000000, Ki_z: 0.050000, Kd_z: 0.500000, Kp_yaw: 0.700000, Ki_yaw: 0.050000, Kd_yaw: 1.000000, Time: 406034
Current Pose: X: -0.234586, Y: -0.657929, Z: -0.856991, Yaw: 1.441270, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.234602, Y: 0.657961, Z: 1.971101, Velocity_in: X: -0.001316, Y: 0.000561, Z: 0.006226, Error: X: 0.234586, Y: 0.657929, Z: 0.856991, Kp: 0.700000, Ki: 0.050000, Kd: 1.500000, Kp_z: 2.000000, Ki_z: 0.050000, Kd_z: 0.500000, Kp_yaw: 0.700000, Ki_yaw: 0.050000, Kd_yaw: 1.000000, Time: 406067
Current Pose: X: -0.234635, Y: -0.657989, Z: -0.857285, Yaw: 1.441274, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.246416, Y: 0.690926, Z: 2.014693, Velocity_in: X: -0.001431, Y: 0.000607, Z: 0.006234, Error: X: 0.234635, Y: 0.657989, Z: 0.857285, Kp: 0.700000, Ki: 0.050000, Kd: 1.500000, Kp_z: 2.000000, Ki_z: 0.050000, Kd_z: 0.500000, Kp_yaw: 0.700000, Ki_yaw: 0.050000, Kd_yaw: 1.000000, Time: 406101
Current Pose: X: -0.234673, Y: -0.658036, Z: -0.857495, Yaw: 1.441264, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.258159, Y: 0.723841, Z: 2.057944, Velocity_in: X: -0.001510, Y: 0.000721, Z: 0.006181, Error: X: 0.234673, Y: 0.658036, Z: 0.857495, Kp: 0.700000, Ki: 0.050000, Kd: 1.500000, Kp_z: 2.000000, Ki_z: 0.050000, Kd_z: 0.500000, Kp_yaw: 0.700000, Ki_yaw: 0.050000, Kd_yaw: 1.000000, Time: 406135
Current Pose: X: -0.234711, Y: -0.658086, Z: -0.857662, Yaw: 1.441253, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.269922, Y: 0.756784, Z: 2.101141, Velocity_in: X: -0.001576, Y: 0.000675, Z: 0.006213, Error: X: 0.234711, Y: 0.658086, Z: 0.857662, Kp: 0.700000, Ki: 0.050000, Kd: 1.500000, Kp_z: 2.000000, Ki_z: 0.050000, Kd_z: 0.500000, Kp_yaw: 0.700000, Ki_yaw: 0.050000, Kd_yaw: 1.000000, Time: 406167
Current Pose: X: -0.234760, Y: -0.658155, Z: -0.857739, Yaw: 1.441258, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.281711, Y: 0.789770, Z: 2.144137, Velocity_in: X: -0.001602, Y: 0.000826, Z: 0.006149, Error: X: 0.234760, Y: 0.658155, Z: 0.857739, Kp: 0.700000, Ki: 0.050000, Kd: 1.500000, Kp_z: 2.000000, Ki_z: 0.050000, Kd_z: 0.500000, Kp_yaw: 0.700000, Ki_yaw: 0.050000, Kd_yaw: 1.000000, Time: 406200
Current Pose: X: -0.234799, Y: -0.658208, Z: -0.857766, Yaw: 1.441267, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.293462, Y: 0.822692, Z: 2.187052, Velocity_in: X: -0.001623, Y: 0.000931, Z: 0.006085, Error: X: 0.234799, Y: 0.658208, Z: 0.857766, Kp: 0.700000, Ki: 0.050000, Kd: 1.500000, Kp_z: 2.000000, Ki_z: 0.050000, Kd_z: 0.500000, Kp_yaw: 0.700000, Ki_yaw: 0.050000, Kd_yaw: 1.000000, Time: 406233
