Current Pose: X: 1.068908, Y: -3.018448, Z: -3.171833, Yaw: 1.925559, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320672, Y: 0.905535, Z: 0.951550, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: -1.068908, Y: 3.018448, Z: 3.171833, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1673361
Current Pose: X: 1.068949, Y: -3.018487, Z: -3.172357, Yaw: 1.925552, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320685, Y: 0.905546, Z: 0.951707, Velocity_in: X: -0.001320, Y: 0.000267, Z: -0.000826, Error: X: -1.068949, Y: 3.018487, Z: 3.172357, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1673393
Current Pose: X: 1.068959, Y: -3.018522, Z: -3.172680, Yaw: 1.925544, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320688, Y: 0.905557, Z: 0.951804, Velocity_in: X: -0.001265, Y: 0.000129, Z: -0.000918, Error: X: -1.068959, Y: 3.018522, Z: 3.172680, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1673427
Current Pose: X: 1.068950, Y: -3.018566, Z: -3.172983, Yaw: 1.925530, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320685, Y: 0.905570, Z: 0.951895, Velocity_in: X: -0.001275, Y: 0.000179, Z: -0.000878, Error: X: -1.068950, Y: 3.018566, Z: 3.172983, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1673465
Current Pose: X: 1.068937, Y: -3.018630, Z: -3.173372, Yaw: 1.925526, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320681, Y: 0.905589, Z: 0.952012, Velocity_in: X: -0.001313, Y: 0.000391, Z: -0.000963, Error: X: -1.068937, Y: 3.018630, Z: 3.173372, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1673492
Current Pose: X: 1.068930, Y: -3.018680, Z: -3.173620, Yaw: 1.925533, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320679, Y: 0.905604, Z: 0.952086, Velocity_in: X: -0.001413, Y: 0.000568, Z: -0.001101, Error: X: -1.068930, Y: 3.018680, Z: 3.173620, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1673525
Current Pose: X: 1.068935, Y: -3.018729, Z: -3.173838, Yaw: 1.925530, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320681, Y: 0.905619, Z: 0.952151, Velocity_in: X: -0.001522, Y: 0.000635, Z: -0.001057, Error: X: -1.068935, Y: 3.018729, Z: 3.173838, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1673559
Current Pose: X: 1.068949, Y: -3.018789, Z: -3.173859, Yaw: 1.925519, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320685, Y: 0.905637, Z: 0.952158, Velocity_in: X: -0.001490, Y: 0.000723, Z: -0.001040, Error: X: -1.068949, Y: 3.018789, Z: 3.173859, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1673598
Current Pose: X: 1.068967, Y: -3.018832, Z: -3.173888, Yaw: 1.925520, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320690, Y: 0.905650, Z: 0.952166, Velocity_in: X: -0.001402, Y: 0.000512, Z: -0.001256, Error: X: -1.068967, Y: 3.018832, Z: 3.173888, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1673629
Current Pose: X: 1.068998, Y: -3.018866, Z: -3.173921, Yaw: 1.925538, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320699, Y: 0.905660, Z: 0.952176, Velocity_in: X: -0.001353, Y: 0.000366, Z: -0.001293, Error: X: -1.068998, Y: 3.018866, Z: 3.173921, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1673661
Current Pose: X: 1.068999, Y: -3.018927, Z: -3.173971, Yaw: 1.925542, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320700, Y: 0.905678, Z: 0.952191, Velocity_in: X: -0.001332, Y: 0.000303, Z: -0.001357, Error: X: -1.068999, Y: 3.018927, Z: 3.173971, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1673694
