Current Pose: X: -0.015060, Y: -0.140863, Z: -0.508281, Yaw: 1.796180, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.064757, Y: 0.605712, Z: 2.287266, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 0.015060, Y: 0.140863, Z: 0.508281, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 768819
Current Pose: X: -0.015077, Y: -0.140921, Z: -0.508233, Yaw: 1.796194, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012120, Y: 0.112940, Z: 1.778769, Velocity_in: X: -0.001524, Y: -0.001530, Z: 0.001237, Error: X: 0.015077, Y: 0.140921, Z: 0.508233, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 768850
Current Pose: X: -0.015092, Y: -0.140997, Z: -0.508125, Yaw: 1.796183, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012129, Y: 0.113065, Z: 1.778328, Velocity_in: X: -0.001578, Y: -0.001531, Z: 0.000750, Error: X: 0.015092, Y: 0.140997, Z: 0.508125, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 768883
Current Pose: X: -0.015097, Y: -0.141071, Z: -0.507993, Yaw: 1.796219, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012096, Y: 0.113113, Z: 1.777845, Velocity_in: X: -0.001373, Y: -0.001700, Z: 0.001038, Error: X: 0.015097, Y: 0.141071, Z: 0.507993, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 768916
Current Pose: X: -0.015082, Y: -0.141132, Z: -0.507957, Yaw: 1.796170, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012013, Y: 0.113119, Z: 1.777811, Velocity_in: X: -0.001787, Y: -0.001939, Z: 0.001201, Error: X: 0.015082, Y: 0.141132, Z: 0.507957, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 768953
Current Pose: X: -0.015071, Y: -0.141209, Z: -0.508044, Yaw: 1.796243, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012016, Y: 0.113237, Z: 1.778243, Velocity_in: X: -0.001879, Y: -0.001966, Z: 0.001468, Error: X: 0.015071, Y: 0.141209, Z: 0.508044, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 768982
Current Pose: X: -0.015052, Y: -0.141296, Z: -0.508176, Yaw: 1.796161, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.011974, Y: 0.113341, Z: 1.778749, Velocity_in: X: -0.001881, Y: -0.002127, Z: 0.001684, Error: X: 0.015052, Y: 0.141296, Z: 0.508176, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769020
Current Pose: X: -0.015037, Y: -0.141386, Z: -0.508354, Yaw: 1.796121, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.011980, Y: 0.113425, Z: 1.779415, Velocity_in: X: -0.002309, Y: -0.002044, Z: 0.001761, Error: X: 0.015037, Y: 0.141386, Z: 0.508354, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769053
Current Pose: X: -0.015051, Y: -0.141460, Z: -0.508578, Yaw: 1.796065, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012088, Y: 0.113427, Z: 1.780246, Velocity_in: X: -0.002325, Y: -0.001991, Z: 0.001518, Error: X: 0.015051, Y: 0.141460, Z: 0.508578, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769085
Current Pose: X: -0.015075, Y: -0.141565, Z: -0.508847, Yaw: 1.796089, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012145, Y: 0.113618, Z: 1.781234, Velocity_in: X: -0.002782, Y: -0.001876, Z: 0.001482, Error: X: 0.015075, Y: 0.141565, Z: 0.508847, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769117
Current Pose: X: -0.015103, Y: -0.141673, Z: -0.509099, Yaw: 1.796100, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012178, Y: 0.113716, Z: 1.782097, Velocity_in: X: -0.002752, Y: -0.001584, Z: 0.000940, Error: X: 0.015103, Y: 0.141673, Z: 0.509099, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769150
Current Pose: X: -0.015113, Y: -0.141760, Z: -0.508866, Yaw: 1.796068, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012127, Y: 0.113712, Z: 1.780798, Velocity_in: X: -0.002700, Y: -0.001497, Z: 0.000849, Error: X: 0.015113, Y: 0.141760, Z: 0.508866, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769183
Current Pose: X: -0.015093, Y: -0.141875, Z: -0.508577, Yaw: 1.796116, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012006, Y: 0.113904, Z: 1.779730, Velocity_in: X: -0.002996, Y: -0.001364, Z: 0.000861, Error: X: 0.015093, Y: 0.141875, Z: 0.508577, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769217
Current Pose: X: -0.015067, Y: -0.141981, Z: -0.508282, Yaw: 1.796091, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.011960, Y: 0.113957, Z: 1.778692, Velocity_in: X: -0.003158, Y: -0.001683, Z: 0.000977, Error: X: 0.015067, Y: 0.141981, Z: 0.508282, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769249
Current Pose: X: -0.015047, Y: -0.142068, Z: -0.508118, Yaw: 1.796096, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.011967, Y: 0.113959, Z: 1.778251, Velocity_in: X: -0.003234, Y: -0.002035, Z: 0.001432, Error: X: 0.015047, Y: 0.142068, Z: 0.508118, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769282
Current Pose: X: -0.015050, Y: -0.142176, Z: -0.507953, Yaw: 1.796106, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012049, Y: 0.114119, Z: 1.777668, Velocity_in: X: -0.003266, Y: -0.001725, Z: 0.001338, Error: X: 0.015050, Y: 0.142176, Z: 0.507953, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769318
Current Pose: X: -0.015065, Y: -0.142286, Z: -0.507826, Yaw: 1.796111, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012105, Y: 0.114212, Z: 1.777263, Velocity_in: X: -0.003146, Y: -0.001525, Z: 0.001448, Error: X: 0.015065, Y: 0.142286, Z: 0.507826, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769351
Current Pose: X: -0.015080, Y: -0.142386, Z: -0.507757, Yaw: 1.796115, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012118, Y: 0.114258, Z: 1.777083, Velocity_in: X: -0.003351, Y: -0.001523, Z: 0.001637, Error: X: 0.015080, Y: 0.142386, Z: 0.507757, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769384
Current Pose: X: -0.015086, Y: -0.142466, Z: -0.507738, Yaw: 1.796141, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012090, Y: 0.114254, Z: 1.777065, Velocity_in: X: -0.003514, Y: -0.001541, Z: 0.001574, Error: X: 0.015086, Y: 0.142466, Z: 0.507738, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769417
Current Pose: X: -0.015078, Y: -0.142579, Z: -0.507676, Yaw: 1.796162, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012034, Y: 0.114457, Z: 1.776805, Velocity_in: X: -0.003882, Y: -0.002052, Z: 0.001548, Error: X: 0.015078, Y: 0.142579, Z: 0.507676, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769450
Current Pose: X: -0.015083, Y: -0.142679, Z: -0.507618, Yaw: 1.796200, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012083, Y: 0.114494, Z: 1.776605, Velocity_in: X: -0.003767, Y: -0.001938, Z: 0.001974, Error: X: 0.015083, Y: 0.142679, Z: 0.507618, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769483
Current Pose: X: -0.015082, Y: -0.142761, Z: -0.507620, Yaw: 1.796198, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012061, Y: 0.114497, Z: 1.776672, Velocity_in: X: -0.003770, Y: -0.001851, Z: 0.001993, Error: X: 0.015082, Y: 0.142761, Z: 0.507620, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769516
Current Pose: X: -0.015105, Y: -0.142856, Z: -0.507661, Yaw: 1.796179, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012167, Y: 0.114617, Z: 1.776855, Velocity_in: X: -0.003934, Y: -0.001628, Z: 0.001950, Error: X: 0.015105, Y: 0.142856, Z: 0.507661, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769549
Current Pose: X: -0.015123, Y: -0.142951, Z: -0.507770, Yaw: 1.796153, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012161, Y: 0.114693, Z: 1.777304, Velocity_in: X: -0.003781, Y: -0.001336, Z: 0.001550, Error: X: 0.015123, Y: 0.142951, Z: 0.507770, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769582
Current Pose: X: -0.015146, Y: -0.143030, Z: -0.507867, Yaw: 1.796183, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012198, Y: 0.114700, Z: 1.777629, Velocity_in: X: -0.003724, Y: -0.001371, Z: 0.001160, Error: X: 0.015146, Y: 0.143030, Z: 0.507867, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769618
Current Pose: X: -0.015166, Y: -0.143074, Z: -0.507950, Yaw: 1.796187, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012203, Y: 0.114612, Z: 1.777909, Velocity_in: X: -0.003368, Y: -0.001515, Z: 0.001712, Error: X: 0.015166, Y: 0.143074, Z: 0.507950, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769651
Current Pose: X: -0.015205, Y: -0.143114, Z: -0.508107, Yaw: 1.796177, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012300, Y: 0.114634, Z: 1.778532, Velocity_in: X: -0.002776, Y: -0.001336, Z: 0.001506, Error: X: 0.015205, Y: 0.143114, Z: 0.508107, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769684
Current Pose: X: -0.015249, Y: -0.143159, Z: -0.508351, Yaw: 1.796201, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012352, Y: 0.114682, Z: 1.779474, Velocity_in: X: -0.002855, Y: -0.001209, Z: 0.001923, Error: X: 0.015249, Y: 0.143159, Z: 0.508351, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769717
Current Pose: X: -0.015290, Y: -0.143185, Z: -0.508551, Yaw: 1.796223, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012376, Y: 0.114641, Z: 1.780127, Velocity_in: X: -0.002905, Y: -0.001197, Z: 0.001626, Error: X: 0.015290, Y: 0.143185, Z: 0.508551, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769750
Current Pose: X: -0.015336, Y: -0.143223, Z: -0.508725, Yaw: 1.796213, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012428, Y: 0.114709, Z: 1.780712, Velocity_in: X: -0.002822, Y: -0.001137, Z: 0.001572, Error: X: 0.015336, Y: 0.143223, Z: 0.508725, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769783
Current Pose: X: -0.015374, Y: -0.143270, Z: -0.508815, Yaw: 1.796228, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 0.012432, Y: 0.114783, Z: 1.780944, Velocity_in: X: -0.002783, Y: -0.001200, Z: 0.001682, Error: X: 0.015374, Y: 0.143270, Z: 0.508815, Kp: 0.800000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 769816
