Current Pose: X: 1.468902, Y: 4.537333, Z: 0.190432, Yaw: 1.847438, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -6.610058, Y: -20.417999, Z: -0.856943, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: -1.468902, Y: -4.537333, Z: -0.190432, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 573972
Current Pose: X: 1.468866, Y: 4.537314, Z: 0.190064, Yaw: 1.847430, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468739, Y: -4.537249, Z: -0.664854, Velocity_in: X: -0.000653, Y: 0.001434, Z: 0.005341, Error: X: -1.468866, Y: -4.537314, Z: -0.190064, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574080
Current Pose: X: 1.468826, Y: 4.537275, Z: 0.189687, Yaw: 1.847456, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468686, Y: -4.537138, Z: -0.663529, Velocity_in: X: -0.000678, Y: 0.001700, Z: 0.005054, Error: X: -1.468826, Y: -4.537275, Z: -0.189687, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574166
Current Pose: X: 1.468781, Y: 4.537260, Z: 0.189246, Yaw: 1.847430, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468625, Y: -4.537207, Z: -0.661922, Velocity_in: X: -0.000280, Y: 0.001539, Z: 0.005116, Error: X: -1.468781, Y: -4.537260, Z: -0.189246, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574229
Current Pose: X: 1.468751, Y: 4.537241, Z: 0.188935, Yaw: 1.847435, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468646, Y: -4.537172, Z: -0.660960, Velocity_in: X: -0.000119, Y: 0.001746, Z: 0.004653, Error: X: -1.468751, Y: -4.537241, Z: -0.188935, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574281
Current Pose: X: 1.468718, Y: 4.537207, Z: 0.188540, Yaw: 1.847450, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468604, Y: -4.537088, Z: -0.659496, Velocity_in: X: -0.000444, Y: 0.001710, Z: 0.004417, Error: X: -1.468718, Y: -4.537207, Z: -0.188540, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574329
Current Pose: X: 1.468681, Y: 4.537179, Z: 0.188059, Yaw: 1.847395, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468548, Y: -4.537080, Z: -0.657727, Velocity_in: X: -0.000466, Y: 0.001692, Z: 0.004472, Error: X: -1.468681, Y: -4.537179, Z: -0.188059, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574379
Current Pose: X: 1.468662, Y: 4.537138, Z: 0.187657, Yaw: 1.847411, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468595, Y: -4.536998, Z: -0.656399, Velocity_in: X: -0.000439, Y: 0.001495, Z: 0.004289, Error: X: -1.468662, Y: -4.537138, Z: -0.187657, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574430
Current Pose: X: 1.468657, Y: 4.537117, Z: 0.187357, Yaw: 1.847416, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468640, Y: -4.537040, Z: -0.655450, Velocity_in: X: -0.000672, Y: 0.001069, Z: 0.004459, Error: X: -1.468657, Y: -4.537117, Z: -0.187357, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574480
Current Pose: X: 1.468648, Y: 4.537080, Z: 0.187000, Yaw: 1.847405, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468617, Y: -4.536953, Z: -0.654145, Velocity_in: X: -0.000523, Y: 0.001002, Z: 0.003931, Error: X: -1.468648, Y: -4.537080, Z: -0.187000, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574538
Current Pose: X: 1.468625, Y: 4.537047, Z: 0.186630, Yaw: 1.847375, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468546, Y: -4.536932, Z: -0.652834, Velocity_in: X: -0.000523, Y: 0.001319, Z: 0.003808, Error: X: -1.468625, Y: -4.537047, Z: -0.186630, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574590
Current Pose: X: 1.468614, Y: 4.537004, Z: 0.186287, Yaw: 1.847376, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468575, Y: -4.536850, Z: -0.651664, Velocity_in: X: -0.000176, Y: 0.001607, Z: 0.003711, Error: X: -1.468614, Y: -4.537004, Z: -0.186287, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574637
Current Pose: X: 1.468602, Y: 4.536967, Z: 0.185959, Yaw: 1.847421, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468559, Y: -4.536840, Z: -0.650527, Velocity_in: X: -0.000887, Y: 0.001284, Z: 0.003172, Error: X: -1.468602, Y: -4.536967, Z: -0.185959, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574690
Current Pose: X: 1.468580, Y: 4.536897, Z: 0.185537, Yaw: 1.847414, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468501, Y: -4.536650, Z: -0.648956, Velocity_in: X: -0.000765, Y: 0.001700, Z: 0.003552, Error: X: -1.468580, Y: -4.536897, Z: -0.185537, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574740
Current Pose: X: 1.468561, Y: 4.536816, Z: 0.185096, Yaw: 1.847407, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468496, Y: -4.536532, Z: -0.647395, Velocity_in: X: -0.001716, Y: 0.001645, Z: 0.003957, Error: X: -1.468561, Y: -4.536816, Z: -0.185096, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574789
Current Pose: X: 1.468536, Y: 4.536746, Z: 0.184746, Yaw: 1.847419, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.468451, Y: -4.536500, Z: -0.646260, Velocity_in: X: -0.001766, Y: 0.002058, Z: 0.003569, Error: X: -1.468536, Y: -4.536746, Z: -0.184746, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 574825
