Current Pose: X: 2.636230, Y: 3.790921, Z: -0.211315, Yaw: 1.667368, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -11.863037, Y: -17.059144, Z: 0.950920, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: -2.636230, Y: -3.790921, Z: 0.211315, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1133439
Current Pose: X: 2.636203, Y: 3.790916, Z: -0.211284, Yaw: 1.667386, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636108, Y: -3.790901, Z: 0.739462, Velocity_in: X: -0.001248, Y: 0.001934, Z: 0.003742, Error: X: -2.636203, Y: -3.790916, Z: 0.211284, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1133472
Current Pose: X: 2.636172, Y: 3.790901, Z: -0.211161, Yaw: 1.667365, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636064, Y: -3.790848, Z: 0.738938, Velocity_in: X: -0.001608, Y: 0.002043, Z: 0.003880, Error: X: -2.636172, Y: -3.790901, Z: 0.211161, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1133508
Current Pose: X: 2.636151, Y: 3.790889, Z: -0.211057, Yaw: 1.667391, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636076, Y: -3.790844, Z: 0.738596, Velocity_in: X: -0.001275, Y: 0.001992, Z: 0.003996, Error: X: -2.636151, Y: -3.790889, Z: 0.211057, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1133538
Current Pose: X: 2.636135, Y: 3.790883, Z: -0.210989, Yaw: 1.667413, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636081, Y: -3.790862, Z: 0.738394, Velocity_in: X: -0.001216, Y: 0.001879, Z: 0.004323, Error: X: -2.636135, Y: -3.790883, Z: 0.210989, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1133571
Current Pose: X: 2.636112, Y: 3.790876, Z: -0.210864, Yaw: 1.667413, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636032, Y: -3.790855, Z: 0.737900, Velocity_in: X: -0.000755, Y: 0.001967, Z: 0.004435, Error: X: -2.636112, Y: -3.790876, Z: 0.210864, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1133604
Current Pose: X: 2.636112, Y: 3.790849, Z: -0.210788, Yaw: 1.667391, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636112, Y: -3.790753, Z: 0.737682, Velocity_in: X: -0.000754, Y: 0.002108, Z: 0.004511, Error: X: -2.636112, Y: -3.790849, Z: 0.210788, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1133637
Current Pose: X: 2.636116, Y: 3.790812, Z: -0.210756, Yaw: 1.667391, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636129, Y: -3.790685, Z: 0.737614, Velocity_in: X: -0.000776, Y: 0.001868, Z: 0.004379, Error: X: -2.636116, Y: -3.790812, Z: 0.210756, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1133670
Current Pose: X: 2.636129, Y: 3.790745, Z: -0.210771, Yaw: 1.667406, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636174, Y: -3.790507, Z: 0.737715, Velocity_in: X: -0.001089, Y: 0.001988, Z: 0.004315, Error: X: -2.636129, Y: -3.790745, Z: 0.210771, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1133705
Current Pose: X: 2.636132, Y: 3.790717, Z: -0.210819, Yaw: 1.667424, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636144, Y: -3.790622, Z: 0.737915, Velocity_in: X: -0.001339, Y: 0.001794, Z: 0.004098, Error: X: -2.636132, Y: -3.790717, Z: 0.210819, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1133739
Current Pose: X: 2.636130, Y: 3.790682, Z: -0.210975, Yaw: 1.667411, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636120, Y: -3.790559, Z: 0.738567, Velocity_in: X: -0.001028, Y: 0.001748, Z: 0.003916, Error: X: -2.636130, Y: -3.790682, Z: 0.210975, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1133772
Current Pose: X: 2.636128, Y: 3.790636, Z: -0.211066, Yaw: 1.667436, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636123, Y: -3.790476, Z: 0.738821, Velocity_in: X: -0.001511, Y: 0.002137, Z: 0.003817, Error: X: -2.636128, Y: -3.790636, Z: 0.211066, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1133805
Current Pose: X: 2.636132, Y: 3.790570, Z: -0.211196, Yaw: 1.667478, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636144, Y: -3.790340, Z: 0.739315, Velocity_in: X: -0.001708, Y: 0.001663, Z: 0.003853, Error: X: -2.636132, Y: -3.790570, Z: 0.211196, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1133837
Current Pose: X: 2.636130, Y: 3.790485, Z: -0.211365, Yaw: 1.667470, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636125, Y: -3.790185, Z: 0.739947, Velocity_in: X: -0.002023, Y: 0.001796, Z: 0.003576, Error: X: -2.636130, Y: -3.790485, Z: 0.211365, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1133871
Current Pose: X: 2.636137, Y: 3.790383, Z: -0.211476, Yaw: 1.667455, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636161, Y: -3.790028, Z: 0.740278, Velocity_in: X: -0.002409, Y: 0.001789, Z: 0.003544, Error: X: -2.636137, Y: -3.790383, Z: 0.211476, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1133903
Current Pose: X: 2.636158, Y: 3.790247, Z: -0.211608, Yaw: 1.667427, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636228, Y: -3.789772, Z: 0.740758, Velocity_in: X: -0.002501, Y: 0.001658, Z: 0.003742, Error: X: -2.636158, Y: -3.790247, Z: 0.211608, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1133936
Current Pose: X: 2.636183, Y: 3.790119, Z: -0.211759, Yaw: 1.667447, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636271, Y: -3.789670, Z: 0.741310, Velocity_in: X: -0.002719, Y: 0.001271, Z: 0.004032, Error: X: -2.636183, Y: -3.790119, Z: 0.211759, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1133970
Current Pose: X: 2.636207, Y: 3.790014, Z: -0.211939, Yaw: 1.667367, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -2.636290, Y: -3.789646, Z: 0.741966, Velocity_in: X: -0.002532, Y: 0.001150, Z: 0.003903, Error: X: -2.636207, Y: -3.790014, Z: 0.211939, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1134006
