Current Pose: X: 0.020180, Y: -0.139437, Z: -0.161614, Yaw: 1.830348, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.090810, Y: 0.627468, Z: 0.727262, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: -0.020180, Y: 0.139437, Z: 0.161614, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1735385
Current Pose: X: 0.020239, Y: -0.139505, Z: -0.161772, Yaw: 1.830411, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020444, Y: 0.139744, Z: 0.566362, Velocity_in: X: 0.000719, Y: -0.000683, Z: 0.020149, Error: X: -0.020239, Y: 0.139505, Z: 0.161772, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1735415
Current Pose: X: 0.020293, Y: -0.139572, Z: -0.161795, Yaw: 1.830417, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020484, Y: 0.139803, Z: 0.566304, Velocity_in: X: 0.000013, Y: -0.000786, Z: 0.020678, Error: X: -0.020293, Y: 0.139572, Z: 0.161795, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1735450
Current Pose: X: 0.020364, Y: -0.139681, Z: -0.161728, Yaw: 1.830430, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020609, Y: 0.140064, Z: 0.565980, Velocity_in: X: -0.000502, Y: -0.000591, Z: 0.020838, Error: X: -0.020364, Y: 0.139681, Z: 0.161728, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1735482
Current Pose: X: 0.020436, Y: -0.139805, Z: -0.161534, Yaw: 1.830456, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020689, Y: 0.140237, Z: 0.565173, Velocity_in: X: -0.001174, Y: -0.000589, Z: 0.020455, Error: X: -0.020436, Y: 0.139805, Z: 0.161534, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1735515
Current Pose: X: 0.020478, Y: -0.139899, Z: -0.161433, Yaw: 1.830386, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020628, Y: 0.140229, Z: 0.564913, Velocity_in: X: -0.000980, Y: -0.000198, Z: 0.020208, Error: X: -0.020478, Y: 0.139899, Z: 0.161433, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1735549
Current Pose: X: 0.020514, Y: -0.140027, Z: -0.161667, Yaw: 1.830354, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020640, Y: 0.140476, Z: 0.566069, Velocity_in: X: -0.001238, Y: -0.000030, Z: 0.020302, Error: X: -0.020514, Y: 0.140027, Z: 0.161667, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1735580
Current Pose: X: 0.020556, Y: -0.140168, Z: -0.161752, Yaw: 1.830353, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020701, Y: 0.140662, Z: 0.566217, Velocity_in: X: -0.001442, Y: -0.000204, Z: 0.019585, Error: X: -0.020556, Y: 0.140168, Z: 0.161752, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1735616
Current Pose: X: 0.020590, Y: -0.140301, Z: -0.161667, Yaw: 1.830334, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020712, Y: 0.140767, Z: 0.565747, Velocity_in: X: -0.001760, Y: -0.000152, Z: 0.019503, Error: X: -0.020590, Y: 0.140301, Z: 0.161667, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1735650
Current Pose: X: 0.020623, Y: -0.140391, Z: -0.161496, Yaw: 1.830397, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020736, Y: 0.140704, Z: 0.565064, Velocity_in: X: -0.001468, Y: -0.000037, Z: 0.019249, Error: X: -0.020623, Y: 0.140391, Z: 0.161496, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1735682
Current Pose: X: 0.020644, Y: -0.140502, Z: -0.161342, Yaw: 1.830392, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020717, Y: 0.140891, Z: 0.564542, Velocity_in: X: -0.001306, Y: -0.000302, Z: 0.019346, Error: X: -0.020644, Y: 0.140502, Z: 0.161342, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1735715
