Current Pose: X: -1.228441, Y: 1.785612, Z: -0.565801, Yaw: 1.768137, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 5.527983, Y: -8.035253, Z: 2.546106, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: 1.228441, Y: -1.785612, Z: 0.565801, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 206885
Current Pose: X: -1.228494, Y: 1.785527, Z: -0.565714, Yaw: 1.768152, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228682, Y: -1.785231, Z: 1.979911, Velocity_in: X: -0.002086, Y: 0.001261, Z: 0.000474, Error: X: 1.228494, Y: -1.785527, Z: 0.565714, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 206918
Current Pose: X: -1.228532, Y: 1.785445, Z: -0.565656, Yaw: 1.768164, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228665, Y: -1.785159, Z: 1.979737, Velocity_in: X: -0.002122, Y: 0.001214, Z: 0.000390, Error: X: 1.228532, Y: -1.785445, Z: 0.565656, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 206947
Current Pose: X: -1.228558, Y: 1.785379, Z: -0.565597, Yaw: 1.768139, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228647, Y: -1.785148, Z: 1.979533, Velocity_in: X: -0.002344, Y: 0.000960, Z: 0.000389, Error: X: 1.228558, Y: -1.785379, Z: 0.565597, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 206981
Current Pose: X: -1.228592, Y: 1.785302, Z: -0.565504, Yaw: 1.768103, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228711, Y: -1.785030, Z: 1.979171, Velocity_in: X: -0.002241, Y: 0.001178, Z: 0.000503, Error: X: 1.228592, Y: -1.785302, Z: 0.565504, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207013
Current Pose: X: -1.228612, Y: 1.785226, Z: -0.565327, Yaw: 1.768093, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228682, Y: -1.784962, Z: 1.978465, Velocity_in: X: -0.002076, Y: 0.000957, Z: 0.000792, Error: X: 1.228612, Y: -1.785226, Z: 0.565327, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207046
Current Pose: X: -1.228620, Y: 1.785159, Z: -0.565096, Yaw: 1.768069, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228650, Y: -1.784922, Z: 1.977606, Velocity_in: X: -0.002279, Y: 0.000767, Z: 0.001074, Error: X: 1.228620, Y: -1.785159, Z: 0.565096, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207079
Current Pose: X: -1.228622, Y: 1.785068, Z: -0.564568, Yaw: 1.768053, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228630, Y: -1.784750, Z: 1.975458, Velocity_in: X: -0.002499, Y: 0.001150, Z: 0.001035, Error: X: 1.228622, Y: -1.785068, Z: 0.564568, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207115
Current Pose: X: -1.228622, Y: 1.784969, Z: -0.564107, Yaw: 1.768056, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228622, Y: -1.784624, Z: 1.973913, Velocity_in: X: -0.002363, Y: 0.001133, Z: 0.000847, Error: X: 1.228622, Y: -1.784969, Z: 0.564107, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207148
Current Pose: X: -1.228636, Y: 1.784875, Z: -0.563747, Yaw: 1.768058, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228683, Y: -1.784546, Z: 1.972754, Velocity_in: X: -0.002587, Y: 0.001171, Z: -0.000037, Error: X: 1.228636, Y: -1.784875, Z: 0.563747, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207182
Current Pose: X: -1.228647, Y: 1.784801, Z: -0.563541, Yaw: 1.767972, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228686, Y: -1.784543, Z: 1.972186, Velocity_in: X: -0.002724, Y: 0.001283, Z: -0.000141, Error: X: 1.228647, Y: -1.784801, Z: 0.563541, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207214
Current Pose: X: -1.228648, Y: 1.784705, Z: -0.563283, Yaw: 1.767975, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228654, Y: -1.784369, Z: 1.971234, Velocity_in: X: -0.002830, Y: 0.000979, Z: 0.000175, Error: X: 1.228648, Y: -1.784705, Z: 0.563283, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207247
Current Pose: X: -1.228651, Y: 1.784613, Z: -0.563050, Yaw: 1.767987, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228660, Y: -1.784288, Z: 1.970444, Velocity_in: X: -0.002838, Y: 0.000887, Z: -0.000299, Error: X: 1.228651, Y: -1.784613, Z: 0.563050, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207280
Current Pose: X: -1.228647, Y: 1.784531, Z: -0.562860, Yaw: 1.768032, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228631, Y: -1.784244, Z: 1.969822, Velocity_in: X: -0.002899, Y: 0.000954, Z: -0.000334, Error: X: 1.228647, Y: -1.784531, Z: 0.562860, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207313
Current Pose: X: -1.228633, Y: 1.784419, Z: -0.562658, Yaw: 1.767999, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228586, Y: -1.784027, Z: 1.969100, Velocity_in: X: -0.003346, Y: 0.000806, Z: -0.000210, Error: X: 1.228633, Y: -1.784419, Z: 0.562658, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207346
Current Pose: X: -1.228612, Y: 1.784293, Z: -0.562554, Yaw: 1.768030, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228540, Y: -1.783854, Z: 1.968835, Velocity_in: X: -0.003697, Y: 0.000553, Z: -0.000042, Error: X: 1.228612, Y: -1.784293, Z: 0.562554, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207379
Current Pose: X: -1.228593, Y: 1.784174, Z: -0.562563, Yaw: 1.768081, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228525, Y: -1.783758, Z: 1.968978, Velocity_in: X: -0.003905, Y: 0.000220, Z: -0.000265, Error: X: 1.228593, Y: -1.784174, Z: 0.562563, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207415
Current Pose: X: -1.228588, Y: 1.784070, Z: -0.562593, Yaw: 1.768055, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228571, Y: -1.783704, Z: 1.969104, Velocity_in: X: -0.004052, Y: 0.000569, Z: -0.000212, Error: X: 1.228588, Y: -1.784070, Z: 0.562593, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207448
Current Pose: X: -1.228583, Y: 1.783934, Z: -0.562754, Yaw: 1.768080, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228566, Y: -1.783458, Z: 1.969802, Velocity_in: X: -0.004506, Y: 0.000828, Z: -0.000470, Error: X: 1.228583, Y: -1.783934, Z: 0.562754, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207482
Current Pose: X: -1.228582, Y: 1.783806, Z: -0.563075, Yaw: 1.768069, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228576, Y: -1.783356, Z: 1.971084, Velocity_in: X: -0.004633, Y: 0.000456, Z: -0.000330, Error: X: 1.228582, Y: -1.783806, Z: 0.563075, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207514
Current Pose: X: -1.228569, Y: 1.783672, Z: -0.563543, Yaw: 1.768035, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228524, Y: -1.783203, Z: 1.972870, Velocity_in: X: -0.004772, Y: 0.000298, Z: -0.000252, Error: X: 1.228569, Y: -1.783672, Z: 0.563543, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207547
Current Pose: X: -1.228552, Y: 1.783582, Z: -0.563909, Yaw: 1.768055, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228495, Y: -1.783270, Z: 1.974047, Velocity_in: X: -0.005074, Y: -0.000417, Z: -0.000561, Error: X: 1.228552, Y: -1.783582, Z: 0.563909, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207582
Current Pose: X: -1.228533, Y: 1.783466, Z: -0.564411, Yaw: 1.768062, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228464, Y: -1.783058, Z: 1.975939, Velocity_in: X: -0.004783, Y: -0.000410, Z: -0.000527, Error: X: 1.228533, Y: -1.783466, Z: 0.564411, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207614
Current Pose: X: -1.228516, Y: 1.783359, Z: -0.565048, Yaw: 1.768048, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228456, Y: -1.782986, Z: 1.978303, Velocity_in: X: -0.005019, Y: -0.000429, Z: -0.000873, Error: X: 1.228516, Y: -1.783359, Z: 0.565048, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207647
