Current Pose: X: 0.718512, Y: -2.035672, Z: -1.772393, Yaw: 2.011662, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -3.520709, Y: 9.974791, Z: 7.975769, Velocity_in: X: 0.000000, Y: 0.000000, Z: 0.000000, Error: X: -0.718512, Y: 2.035672, Z: 1.772393, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 845796
Current Pose: X: 0.718507, Y: -2.035694, Z: -1.772729, Yaw: 2.011655, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.005892, Y: 2.850050, Z: 6.204885, Velocity_in: X: -0.000289, Y: 0.000236, Z: -0.000744, Error: X: -0.718507, Y: 2.035694, Z: 1.772729, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 845895
Current Pose: X: 0.718504, Y: -2.035726, Z: -1.773078, Yaw: 2.011650, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.005893, Y: 2.850129, Z: 6.206124, Velocity_in: X: -0.000238, Y: 0.000292, Z: -0.000636, Error: X: -0.718504, Y: 2.035726, Z: 1.773078, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 845957
Current Pose: X: 0.718501, Y: -2.035751, Z: -1.773381, Yaw: 2.011658, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.005892, Y: 2.850137, Z: 6.207137, Velocity_in: X: -0.000158, Y: 0.000246, Z: -0.000579, Error: X: -0.718501, Y: 2.035751, Z: 1.773381, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 846019
Current Pose: X: 0.718501, Y: -2.035780, Z: -1.773696, Yaw: 2.011642, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.005900, Y: 2.850194, Z: 6.208249, Velocity_in: X: -0.000301, Y: 0.000254, Z: -0.000805, Error: X: -0.718501, Y: 2.035780, Z: 1.773696, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 846081
Current Pose: X: 0.718503, Y: -2.035823, Z: -1.774097, Yaw: 2.011646, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.005912, Y: 2.850301, Z: 6.209741, Velocity_in: X: -0.000383, Y: 0.000159, Z: -0.001027, Error: X: -0.718503, Y: 2.035823, Z: 1.774097, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 846145
Current Pose: X: 0.718506, Y: -2.035860, Z: -1.774363, Yaw: 2.011626, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.005921, Y: 2.850333, Z: 6.210537, Velocity_in: X: -0.000490, Y: 0.000220, Z: -0.001042, Error: X: -0.718506, Y: 2.035860, Z: 1.774363, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 846206
Current Pose: X: 0.718509, Y: -2.035898, Z: -1.774610, Yaw: 2.011627, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.005921, Y: 2.850392, Z: 6.211383, Velocity_in: X: -0.000501, Y: 0.000182, Z: -0.001092, Error: X: -0.718509, Y: 2.035898, Z: 1.774610, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 846265
Current Pose: X: 0.718515, Y: -2.035959, Z: -1.774937, Yaw: 2.011618, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.005943, Y: 2.850559, Z: 6.212606, Velocity_in: X: -0.000549, Y: 0.000344, Z: -0.001107, Error: X: -0.718515, Y: 2.035959, Z: 1.774937, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 846325
Current Pose: X: 0.718524, Y: -2.036011, Z: -1.775183, Yaw: 2.011617, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.005963, Y: 2.850596, Z: 6.213386, Velocity_in: X: -0.000857, Y: 0.000248, Z: -0.001094, Error: X: -0.718524, Y: 2.036011, Z: 1.775183, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 846387
Current Pose: X: 0.718535, Y: -2.036069, Z: -1.775437, Yaw: 2.011614, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -1.005988, Y: 2.850702, Z: 6.214284, Velocity_in: X: -0.001010, Y: 0.000228, Z: -0.001303, Error: X: -0.718535, Y: 2.036069, Z: 1.775437, Kp: 1.400000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 846442
