Current Pose: X: 0.00136571, Y: -0.0077255, Z: -3.43266, Yaw: 1.87963, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00136571, Y: 0.0077255, Z: 3.43266, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: -0.00136571, Y: 0.0077255, Z: 3.43266, 
Current Pose: X: 0.00128749, Y: -0.00768378, Z: -3.43316, Yaw: 1.87961, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00128749, Y: 0.00768378, Z: 3.43316, Velocity_in: X: -0.001421, Y: 0.00225753, Z: -0.000813908, Error: X: -0.00128749, Y: 0.00768378, Z: 3.43316, 
Current Pose: X: 0.00122965, Y: -0.007624, Z: -3.43378, Yaw: 1.87964, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00122965, Y: 0.007624, Z: 3.43378, Velocity_in: X: -0.00173374, Y: 0.00233125, Z: -0.000790707, Error: X: -0.00122965, Y: 0.007624, Z: 3.43378, 
Current Pose: X: 0.00118465, Y: -0.00756748, Z: -3.43419, Yaw: 1.87963, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00118465, Y: 0.00756748, Z: 3.43419, Velocity_in: X: -0.00203835, Y: 0.00188191, Z: -0.000690516, Error: X: -0.00118465, Y: 0.00756748, Z: 3.43419, 
Current Pose: X: 0.00116505, Y: -0.00750504, Z: -3.43456, Yaw: 1.87964, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00116505, Y: 0.00750504, Z: 3.43456, Velocity_in: X: -0.00152512, Y: 0.00169539, Z: -0.000547827, Error: X: -0.00116505, Y: 0.00750504, Z: 3.43456, 
Current Pose: X: 0.00116584, Y: -0.00746826, Z: -3.43491, Yaw: 1.87968, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00116584, Y: 0.00746826, Z: 3.43491, Velocity_in: X: -0.0015325, Y: 0.00104003, Z: -0.000522938, Error: X: -0.00116584, Y: 0.00746826, Z: 3.43491, 
Current Pose: X: 0.00118523, Y: -0.00743546, Z: -3.43552, Yaw: 1.87966, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00118523, Y: 0.00743546, Z: 3.43552, Velocity_in: X: -0.00186209, Y: 0.000805739, Z: -0.000471597, Error: X: -0.00118523, Y: 0.00743546, Z: 3.43552, 
Current Pose: X: 0.00120933, Y: -0.00742901, Z: -3.43609, Yaw: 1.87964, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00120933, Y: 0.00742901, Z: 3.43609, Velocity_in: X: -0.00242516, Y: 0.000701181, Z: -0.000855024, Error: X: -0.00120933, Y: 0.00742901, Z: 3.43609, 
Current Pose: X: 0.00124676, Y: -0.00742501, Z: -3.43685, Yaw: 1.87965, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00124676, Y: 0.00742501, Z: 3.43685, Velocity_in: X: -0.00279207, Y: 0.000406788, Z: -0.0015881, Error: X: -0.00124676, Y: 0.00742501, Z: 3.43685, 
Current Pose: X: 0.00129165, Y: -0.0074116, Z: -3.43758, Yaw: 1.87964, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00129165, Y: 0.0074116, Z: 3.43758, Velocity_in: X: -0.00303736, Y: 0.000112321, Z: -0.00184946, Error: X: -0.00129165, Y: 0.0074116, Z: 3.43758, 
Current Pose: X: 0.00134396, Y: -0.00741536, Z: -3.43837, Yaw: 1.87964, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00134396, Y: 0.00741536, Z: 3.43837, Velocity_in: X: -0.0027844, Y: -0.000225946, Z: -0.0020068, Error: X: -0.00134396, Y: 0.00741536, Z: 3.43837, 
