Current Pose: X: 0.00184013, Y: -0.0065259, Z: -0.37823, Yaw: 0, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00184013, Y: 0.0065259, Z: 0.37823, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: -0.00184013, Y: 0.0065259, Z: 0.37823, 
Current Pose: X: 0.00183535, Y: -0.0064913, Z: -0.377917, Yaw: 1.86255, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00183535, Y: 0.0064913, Z: 0.377917, Velocity_in: X: -0.000371121, Y: 0.00224991, Z: 0.00082112, Error: X: -0.00183535, Y: 0.0064913, Z: 0.377917, 
Current Pose: X: 0.00182655, Y: -0.00644927, Z: -0.377659, Yaw: 1.86255, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00182655, Y: 0.00644927, Z: 0.377659, Velocity_in: X: 0.00237307, Y: -0.000200212, Z: 0.00096042, Error: X: -0.00182655, Y: 0.00644927, Z: 0.377659, 
Current Pose: X: 0.00181289, Y: -0.00641581, Z: -0.377429, Yaw: 1.86255, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00181289, Y: 0.00641581, Z: 0.377429, Velocity_in: X: 0.00260399, Y: -0.000113395, Z: 0.000901707, Error: X: -0.00181289, Y: 0.00641581, Z: 0.377429, 
Current Pose: X: 0.0018032, Y: -0.00639175, Z: -0.377452, Yaw: 1.86254, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0018032, Y: 0.00639175, Z: 0.377452, Velocity_in: X: 0.00262119, Y: -3.75269e-05, Z: 0.00109936, Error: X: -0.0018032, Y: 0.00639175, Z: 0.377452, 
Current Pose: X: 0.00179308, Y: -0.00635976, Z: -0.377471, Yaw: 1.86254, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00179308, Y: 0.00635976, Z: 0.377471, Velocity_in: X: 0.0027129, Y: -0.000156248, Z: 0.00112143, Error: X: -0.00179308, Y: 0.00635976, Z: 0.377471, 
Current Pose: X: 0.00177467, Y: -0.00630634, Z: -0.377587, Yaw: 1.86253, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00177467, Y: 0.00630634, Z: 0.377587, Velocity_in: X: 0.00280936, Y: -0.000163823, Z: 0.00103885, Error: X: -0.00177467, Y: 0.00630634, Z: 0.377587, 
Current Pose: X: 0.00175404, Y: -0.00625754, Z: -0.377741, Yaw: 1.86252, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00175404, Y: 0.00625754, Z: 0.377741, Velocity_in: X: 0.00292527, Y: -3.61689e-05, Z: 0.00108134, Error: X: -0.00175404, Y: 0.00625754, Z: 0.377741, 
Current Pose: X: 0.00172929, Y: -0.00620061, Z: -0.377916, Yaw: 1.86253, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00172929, Y: 0.00620061, Z: 0.377916, Velocity_in: X: 0.00310992, Y: 9.83861e-05, Z: 0.000989776, Error: X: -0.00172929, Y: 0.00620061, Z: 0.377916, 
Current Pose: X: 0.00171409, Y: -0.00616602, Z: -0.378033, Yaw: 1.86253, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00171409, Y: 0.00616602, Z: 0.378033, Velocity_in: X: 0.00322266, Y: 4.57236e-05, Z: 0.000947555, Error: X: -0.00171409, Y: 0.00616602, Z: 0.378033, 
Current Pose: X: 0.00169353, Y: -0.00612582, Z: -0.378197, Yaw: 1.86252, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00169353, Y: 0.00612582, Z: 0.378197, Velocity_in: X: 0.00341925, Y: 3.26534e-05, Z: 0.000944294, Error: X: -0.00169353, Y: 0.00612582, Z: 0.378197, 
Current Pose: X: 0.00167386, Y: -0.00608746, Z: -0.378347, Yaw: 1.86253, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00167386, Y: 0.00608746, Z: 0.378347, Velocity_in: X: 0.00348799, Y: 0.000127247, Z: 0.000816182, Error: X: -0.00167386, Y: 0.00608746, Z: 0.378347, 
Current Pose: X: 0.00165414, Y: -0.00604204, Z: -0.378411, Yaw: 1.86252, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00165414, Y: 0.00604204, Z: 0.378411, Velocity_in: X: 0.00359315, Y: 6.66969e-05, Z: 0.000763946, Error: X: -0.00165414, Y: 0.00604204, Z: 0.378411, 
Current Pose: X: 0.00162469, Y: -0.00596988, Z: -0.378462, Yaw: 1.86252, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00162469, Y: 0.00596988, Z: 0.378462, Velocity_in: X: 0.00358841, Y: 5.73922e-05, Z: 0.000741583, Error: X: -0.00162469, Y: 0.00596988, Z: 0.378462, 
