Current Pose: X: -0.73726, Y: 0.794697, Z: -1.31969, Yaw: 1.76986, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.73726, Y: -0.794697, Z: 1.31969, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: 0.73726, Y: -0.794697, Z: 1.31969, 
Current Pose: X: -0.737247, Y: 0.794631, Z: -1.31983, Yaw: 1.76981, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.737247, Y: -0.794631, Z: 1.31983, Velocity_in: X: 0.00134272, Y: 0.000256505, Z: 0.00321912, Error: X: 0.737247, Y: -0.794631, Z: 1.31983, 
Current Pose: X: -0.737241, Y: 0.794575, Z: -1.32019, Yaw: 1.7698, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.737241, Y: -0.794575, Z: 1.32019, Velocity_in: X: 0.00144235, Y: 8.86456e-05, Z: 0.00253073, Error: X: 0.737241, Y: -0.794575, Z: 1.32019, 
Current Pose: X: -0.737226, Y: 0.794529, Z: -1.32048, Yaw: 1.76981, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.737226, Y: -0.794529, Z: 1.32048, Velocity_in: X: 0.00123095, Y: 3.88974e-06, Z: 0.00244029, Error: X: 0.737226, Y: -0.794529, Z: 1.32048, 
Current Pose: X: -0.7372, Y: 0.794467, Z: -1.3208, Yaw: 1.76985, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.7372, Y: -0.794467, Z: 1.3208, Velocity_in: X: 0.000893696, Y: -0.000465676, Z: 0.00202587, Error: X: 0.7372, Y: -0.794467, Z: 1.3208, 
Current Pose: X: -0.737185, Y: 0.794398, Z: -1.321, Yaw: 1.76982, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.737185, Y: -0.794398, Z: 1.321, Velocity_in: X: 0.00101152, Y: -0.000452769, Z: 0.00165456, Error: X: 0.737185, Y: -0.794398, Z: 1.321, 
Current Pose: X: -0.737166, Y: 0.794343, Z: -1.32108, Yaw: 1.76979, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.737166, Y: -0.794343, Z: 1.32108, Velocity_in: X: 0.00102942, Y: -0.000484872, Z: 0.00160886, Error: X: 0.737166, Y: -0.794343, Z: 1.32108, 
Current Pose: X: -0.737139, Y: 0.794271, Z: -1.32113, Yaw: 1.7698, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.737139, Y: -0.794271, Z: 1.32113, Velocity_in: X: 0.000947835, Y: -0.000625106, Z: 0.00197675, Error: X: 0.737139, Y: -0.794271, Z: 1.32113, 
Current Pose: X: -0.737103, Y: 0.7942, Z: -1.32116, Yaw: 1.76985, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.737103, Y: -0.7942, Z: 1.32116, Velocity_in: X: 0.000806744, Y: -0.000701495, Z: 0.00196731, Error: X: 0.737103, Y: -0.7942, Z: 1.32116, 
Current Pose: X: -0.737052, Y: 0.794143, Z: -1.32115, Yaw: 1.76984, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.737052, Y: -0.794143, Z: 1.32115, Velocity_in: X: 0.000966297, Y: -0.000982299, Z: 0.00171431, Error: X: 0.737052, Y: -0.794143, Z: 1.32115, 
Current Pose: X: -0.737023, Y: 0.794106, Z: -1.32117, Yaw: 1.76985, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.737023, Y: -0.794106, Z: 1.32117, Velocity_in: X: 0.00105998, Y: -0.000720786, Z: 0.00152401, Error: X: 0.737023, Y: -0.794106, Z: 1.32117, 
Current Pose: X: -0.736987, Y: 0.794058, Z: -1.32118, Yaw: 1.76987, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736987, Y: -0.794058, Z: 1.32118, Velocity_in: X: 0.00131409, Y: -0.00042601, Z: 0.00175249, Error: X: 0.736987, Y: -0.794058, Z: 1.32118, 
Current Pose: X: -0.736958, Y: 0.794007, Z: -1.32124, Yaw: 1.76982, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736958, Y: -0.794007, Z: 1.32124, Velocity_in: X: 0.000957026, Y: -0.000600129, Z: 0.00186884, Error: X: 0.736958, Y: -0.794007, Z: 1.32124, 
Current Pose: X: -0.736943, Y: 0.79395, Z: -1.32135, Yaw: 1.76985, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736943, Y: -0.79395, Z: 1.32135, Velocity_in: X: 0.000762782, Y: -0.000555048, Z: 0.00145717, Error: X: 0.736943, Y: -0.79395, Z: 1.32135, 
Current Pose: X: -0.736928, Y: 0.7939, Z: -1.32144, Yaw: 1.76981, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736928, Y: -0.7939, Z: 1.32144, Velocity_in: X: 0.000680544, Y: -0.000652793, Z: 0.00145319, Error: X: 0.736928, Y: -0.7939, Z: 1.32144, 
Current Pose: X: -0.736904, Y: 0.793838, Z: -1.32175, Yaw: 1.76985, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736904, Y: -0.793838, Z: 1.32175, Velocity_in: X: 0.000246328, Y: -0.00123997, Z: 0.00191584, Error: X: 0.736904, Y: -0.793838, Z: 1.32175, 
