Current Pose: X: 0.125643, Y: 0.000674067, Z: -3.15282, Yaw: 1.58089, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125643, Y: -0.000674067, Z: 3.15282, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: -0.125643, Y: -0.000674067, Z: 3.15282, 
Current Pose: X: 0.125638, Y: 0.000631121, Z: -3.153, Yaw: 1.58091, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125638, Y: -0.000631121, Z: 3.153, Velocity_in: X: -0.000144881, Y: 0.000764653, Z: 0.031613, Error: X: -0.125638, Y: -0.000631121, Z: 3.153, 
Current Pose: X: 0.125632, Y: 0.000586399, Z: -3.15305, Yaw: 1.58093, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125632, Y: -0.000586399, Z: 3.15305, Velocity_in: X: -0.000119651, Y: 0.000837406, Z: 0.0313476, Error: X: -0.125632, Y: -0.000586399, Z: 3.15305, 
Current Pose: X: 0.125629, Y: 0.000536909, Z: -3.15299, Yaw: 1.58093, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125629, Y: -0.000536909, Z: 3.15299, Velocity_in: X: -0.000107116, Y: 0.000891026, Z: 0.0311693, Error: X: -0.125629, Y: -0.000536909, Z: 3.15299, 
Current Pose: X: 0.125632, Y: 0.000465127, Z: -3.15259, Yaw: 1.58094, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125632, Y: -0.000465127, Z: 3.15259, Velocity_in: X: -0.000253221, Y: 0.000958442, Z: 0.0311629, Error: X: -0.125632, Y: -0.000465127, Z: 3.15259, 
Current Pose: X: 0.12564, Y: 0.000408782, Z: -3.15216, Yaw: 1.58096, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.12564, Y: -0.000408782, Z: 3.15216, Velocity_in: X: -0.000325427, Y: 0.000985482, Z: 0.0311113, Error: X: -0.12564, Y: -0.000408782, Z: 3.15216, 
Current Pose: X: 0.12565, Y: 0.000349751, Z: -3.1517, Yaw: 1.58096, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.12565, Y: -0.000349751, Z: 3.1517, Velocity_in: X: -0.00051822, Y: 0.000917497, Z: 0.0310997, Error: X: -0.12565, Y: -0.000349751, Z: 3.1517, 
Current Pose: X: 0.125648, Y: 0.000300001, Z: -3.15158, Yaw: 1.58097, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125648, Y: -0.000300001, Z: 3.15158, Velocity_in: X: -0.00046302, Y: 0.0010055, Z: 0.0311054, Error: X: -0.125648, Y: -0.000300001, Z: 3.15158, 
Current Pose: X: 0.125638, Y: 0.000238479, Z: -3.15157, Yaw: 1.58099, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125638, Y: -0.000238479, Z: 3.15157, Velocity_in: X: -0.000279554, Y: 0.00108417, Z: 0.030941, Error: X: -0.125638, Y: -0.000238479, Z: 3.15157, 
Current Pose: X: 0.125636, Y: 0.000191073, Z: -3.1514, Yaw: 1.58101, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125636, Y: -0.000191073, Z: 3.1514, Velocity_in: X: -0.000351192, Y: 0.00112572, Z: 0.030793, Error: X: -0.125636, Y: -0.000191073, Z: 3.1514, 
Current Pose: X: 0.125639, Y: 0.000125364, Z: -3.15093, Yaw: 1.58103, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125639, Y: -0.000125364, Z: 3.15093, Velocity_in: X: -0.000345845, Y: 0.0010907, Z: 0.0307349, Error: X: -0.125639, Y: -0.000125364, Z: 3.15093, 
Current Pose: X: 0.125647, Y: 7.32765e-05, Z: -3.15027, Yaw: 1.58103, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125647, Y: -7.32765e-05, Z: 3.15027, Velocity_in: X: -0.000439729, Y: 0.00131847, Z: 0.030748, Error: X: -0.125647, Y: -7.32765e-05, Z: 3.15027, 
Current Pose: X: 0.125655, Y: 2.04439e-05, Z: -3.14957, Yaw: 1.58104, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125655, Y: -2.04439e-05, Z: 3.14957, Velocity_in: X: -0.000485577, Y: 0.0013017, Z: 0.0307896, Error: X: -0.125655, Y: -2.04439e-05, Z: 3.14957, 
Current Pose: X: 0.125652, Y: -2.98116e-05, Z: -3.1492, Yaw: 1.58104, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125652, Y: 2.98116e-05, Z: 3.1492, Velocity_in: X: -0.000531927, Y: 0.00137563, Z: 0.0308075, Error: X: -0.125652, Y: 2.98116e-05, Z: 3.1492, 
Current Pose: X: 0.125641, Y: -9.59854e-05, Z: -3.1489, Yaw: 1.58107, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125641, Y: 9.59854e-05, Z: 3.1489, Velocity_in: X: -0.000646173, Y: 0.00137884, Z: 0.0309442, Error: X: -0.125641, Y: 9.59854e-05, Z: 3.1489, 
Current Pose: X: 0.125634, Y: -0.000149515, Z: -3.14857, Yaw: 1.58109, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125634, Y: 0.000149515, Z: 3.14857, Velocity_in: X: -0.0006713, Y: 0.00138663, Z: 0.0309587, Error: X: -0.125634, Y: 0.000149515, Z: 3.14857, 
Current Pose: X: 0.12563, Y: -0.000205106, Z: -3.14816, Yaw: 1.58109, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.12563, Y: 0.000205106, Z: 3.14816, Velocity_in: X: -0.000686324, Y: 0.00156516, Z: 0.030823, Error: X: -0.12563, Y: 0.000205106, Z: 3.14816, 
Current Pose: X: 0.125624, Y: -0.000282994, Z: -3.14762, Yaw: 1.58112, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125624, Y: 0.000282994, Z: 3.14762, Velocity_in: X: -0.000822314, Y: 0.00140758, Z: 0.0309243, Error: X: -0.125624, Y: 0.000282994, Z: 3.14762, 
Current Pose: X: 0.125623, Y: -0.000345445, Z: -3.14717, Yaw: 1.58113, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125623, Y: 0.000345445, Z: 3.14717, Velocity_in: X: -0.000923273, Y: 0.0015226, Z: 0.0311567, Error: X: -0.125623, Y: 0.000345445, Z: 3.14717, 
Current Pose: X: 0.125617, Y: -0.000400375, Z: -3.14693, Yaw: 1.58113, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125617, Y: 0.000400375, Z: 3.14693, Velocity_in: X: -0.000884226, Y: 0.00151507, Z: 0.0314176, Error: X: -0.125617, Y: 0.000400375, Z: 3.14693, 
Current Pose: X: 0.125608, Y: -0.000450958, Z: -3.1468, Yaw: 1.58114, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125608, Y: 0.000450958, Z: 3.1468, Velocity_in: X: -0.000897164, Y: 0.00149964, Z: 0.031387, Error: X: -0.125608, Y: 0.000450958, Z: 3.1468, 
Current Pose: X: 0.125604, Y: -0.000518596, Z: -3.14655, Yaw: 1.58115, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125604, Y: 0.000518596, Z: 3.14655, Velocity_in: X: -0.000805499, Y: 0.00145536, Z: 0.0312446, Error: X: -0.125604, Y: 0.000518596, Z: 3.14655, 
Current Pose: X: 0.125609, Y: -0.00056771, Z: -3.14625, Yaw: 1.58116, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125609, Y: 0.00056771, Z: 3.14625, Velocity_in: X: -0.000768733, Y: 0.0013235, Z: 0.0311554, Error: X: -0.125609, Y: 0.00056771, Z: 3.14625, 
Current Pose: X: 0.125621, Y: -0.000617026, Z: -3.14585, Yaw: 1.58119, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125621, Y: 0.000617026, Z: 3.14585, Velocity_in: X: -0.000741735, Y: 0.00125688, Z: 0.0312129, Error: X: -0.125621, Y: 0.000617026, Z: 3.14585, 
Current Pose: X: 0.125644, Y: -0.00068269, Z: -3.14513, Yaw: 1.58121, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125644, Y: 0.00068269, Z: 3.14513, Velocity_in: X: -0.000764436, Y: 0.00123405, Z: 0.0313143, Error: X: -0.125644, Y: 0.00068269, Z: 3.14513, 
Current Pose: X: 0.125656, Y: -0.000724826, Z: -3.14487, Yaw: 1.58122, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125656, Y: 0.000724826, Z: 3.14487, Velocity_in: X: -0.000794772, Y: 0.00127782, Z: 0.031544, Error: X: -0.125656, Y: 0.000724826, Z: 3.14487, 
Current Pose: X: 0.125667, Y: -0.000765771, Z: -3.14469, Yaw: 1.58124, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125667, Y: 0.000765771, Z: 3.14469, Velocity_in: X: -0.000790315, Y: 0.00127002, Z: 0.0315065, Error: X: -0.125667, Y: 0.000765771, Z: 3.14469, 
Current Pose: X: 0.125691, Y: -0.000820031, Z: -3.14417, Yaw: 1.58126, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125691, Y: 0.000820031, Z: 3.14417, Velocity_in: X: -0.000751528, Y: 0.00116056, Z: 0.0314552, Error: X: -0.125691, Y: 0.000820031, Z: 3.14417, 
Current Pose: X: 0.125716, Y: -0.000861367, Z: -3.14363, Yaw: 1.58127, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125716, Y: 0.000861367, Z: 3.14363, Velocity_in: X: -0.000809914, Y: 0.00111161, Z: 0.0314829, Error: X: -0.125716, Y: 0.000861367, Z: 3.14363, 
Current Pose: X: 0.125742, Y: -0.000903396, Z: -3.14299, Yaw: 1.58128, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125742, Y: 0.000903396, Z: 3.14299, Velocity_in: X: -0.000761094, Y: 0.0011063, Z: 0.0315225, Error: X: -0.125742, Y: 0.000903396, Z: 3.14299, 
Current Pose: X: 0.125785, Y: -0.00095755, Z: -3.14197, Yaw: 1.58129, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125785, Y: 0.00095755, Z: 3.14197, Velocity_in: X: -0.000720586, Y: 0.0011274, Z: 0.0316994, Error: X: -0.125785, Y: 0.00095755, Z: 3.14197, 
Current Pose: X: 0.12581, Y: -0.000993515, Z: -3.14152, Yaw: 1.5813, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.12581, Y: 0.000993515, Z: 3.14152, Velocity_in: X: -0.000669752, Y: 0.00107152, Z: 0.0318364, Error: X: -0.12581, Y: 0.000993515, Z: 3.14152, 
Current Pose: X: 0.125826, Y: -0.00102793, Z: -3.14125, Yaw: 1.58132, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125826, Y: 0.00102793, Z: 3.14125, Velocity_in: X: -0.000687033, Y: 0.00104961, Z: 0.0317547, Error: X: -0.125826, Y: 0.00102793, Z: 3.14125, 
Current Pose: X: 0.125846, Y: -0.00106438, Z: -3.14084, Yaw: 1.58132, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125846, Y: 0.00106438, Z: 3.14084, Velocity_in: X: -0.000707863, Y: 0.00105082, Z: 0.0318241, Error: X: -0.125846, Y: 0.00106438, Z: 3.14084, 
Current Pose: X: 0.125881, Y: -0.00111566, Z: -3.14006, Yaw: 1.58133, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125881, Y: 0.00111566, Z: 3.14006, Velocity_in: X: -0.000759287, Y: 0.00109901, Z: 0.031808, Error: X: -0.125881, Y: 0.00111566, Z: 3.14006, 
Current Pose: X: 0.125909, Y: -0.00115537, Z: -3.13937, Yaw: 1.58134, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125909, Y: 0.00115537, Z: 3.13937, Velocity_in: X: -0.00075335, Y: 0.00109064, Z: 0.0319004, Error: X: -0.125909, Y: 0.00115537, Z: 3.13937, 
Current Pose: X: 0.125939, Y: -0.0011976, Z: -3.13864, Yaw: 1.58136, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125939, Y: 0.0011976, Z: 3.13864, Velocity_in: X: -0.000705131, Y: 0.00112909, Z: 0.0320132, Error: X: -0.125939, Y: 0.0011976, Z: 3.13864, 
Current Pose: X: 0.125973, Y: -0.00124875, Z: -3.138, Yaw: 1.58136, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125973, Y: 0.00124875, Z: 3.138, Velocity_in: X: -0.000783891, Y: 0.00104552, Z: 0.032051, Error: X: -0.125973, Y: 0.00124875, Z: 3.138, 
Current Pose: X: 0.125993, Y: -0.00128161, Z: -3.13769, Yaw: 1.58137, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.125993, Y: 0.00128161, Z: 3.13769, Velocity_in: X: -0.000710029, Y: 0.000891807, Z: 0.0319318, Error: X: -0.125993, Y: 0.00128161, Z: 3.13769, 
Current Pose: X: 0.126015, Y: -0.00131725, Z: -3.1373, Yaw: 1.58138, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126015, Y: 0.00131725, Z: 3.1373, Velocity_in: X: -0.000616916, Y: 0.000866069, Z: 0.0318228, Error: X: -0.126015, Y: 0.00131725, Z: 3.1373, 
Current Pose: X: 0.126046, Y: -0.00136843, Z: -3.13669, Yaw: 1.58139, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.126046, Y: 0.00136843, Z: 3.13669, Velocity_in: X: -0.000762469, Y: 0.000933827, Z: 0.0318628, Error: X: -0.126046, Y: 0.00136843, Z: 3.13669, 
