Current Pose: X: -0.0316741, Y: -0.100886, Z: -4.21631, Yaw: 1.75272, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0316741, Y: 0.100886, Z: 4.21631, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: 0.0316741, Y: 0.100886, Z: 4.21631, 
Current Pose: X: -0.0316689, Y: -0.10095, Z: -4.21637, Yaw: 1.75273, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0316689, Y: 0.10095, Z: 4.21637, Velocity_in: X: -0.00306058, Y: -0.0019852, Z: 0.00190356, Error: X: 0.0316689, Y: 0.10095, Z: 4.21637, 
Current Pose: X: -0.0316766, Y: -0.101024, Z: -4.21645, Yaw: 1.75278, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0316766, Y: 0.101024, Z: 4.21645, Velocity_in: X: -0.00355865, Y: -0.00147417, Z: 0.00182872, Error: X: 0.0316766, Y: 0.101024, Z: 4.21645, 
Current Pose: X: -0.0317115, Y: -0.101075, Z: -4.21647, Yaw: 1.75288, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0317115, Y: 0.101075, Z: 4.21647, Velocity_in: X: -0.00352157, Y: -0.00136991, Z: 0.00216524, Error: X: 0.0317115, Y: 0.101075, Z: 4.21647, 
Current Pose: X: -0.0317413, Y: -0.101109, Z: -4.21641, Yaw: 1.75288, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0317413, Y: 0.101109, Z: 4.21641, Velocity_in: X: -0.00328644, Y: -0.000569349, Z: 0.00238008, Error: X: 0.0317413, Y: 0.101109, Z: 4.21641, 
Current Pose: X: -0.0317771, Y: -0.101163, Z: -4.21628, Yaw: 1.75293, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0317771, Y: 0.101163, Z: 4.21628, Velocity_in: X: -0.00315172, Y: -0.000502354, Z: 0.00239081, Error: X: 0.0317771, Y: 0.101163, Z: 4.21628, 
Current Pose: X: -0.0318229, Y: -0.10121, Z: -4.21628, Yaw: 1.75297, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0318229, Y: 0.10121, Z: 4.21628, Velocity_in: X: -0.00327695, Y: -0.00053834, Z: 0.00231082, Error: X: 0.0318229, Y: 0.10121, Z: 4.21628, 
Current Pose: X: -0.0318724, Y: -0.101257, Z: -4.21629, Yaw: 1.75299, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0318724, Y: 0.101257, Z: 4.21629, Velocity_in: X: -0.00315792, Y: -0.00028662, Z: 0.00213777, Error: X: 0.0318724, Y: 0.101257, Z: 4.21629, 
Current Pose: X: -0.0319077, Y: -0.101298, Z: -4.2163, Yaw: 1.75304, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0319077, Y: 0.101298, Z: 4.2163, Velocity_in: X: -0.00271778, Y: -0.000281046, Z: 0.00240147, Error: X: 0.0319077, Y: 0.101298, Z: 4.2163, 
Current Pose: X: -0.0319622, Y: -0.101358, Z: -4.21634, Yaw: 1.75307, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0319622, Y: 0.101358, Z: 4.21634, Velocity_in: X: -0.00302735, Y: -0.000281069, Z: 0.00239448, Error: X: 0.0319622, Y: 0.101358, Z: 4.21634, 
Current Pose: X: -0.0320203, Y: -0.10141, Z: -4.21633, Yaw: 1.75313, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0320203, Y: 0.10141, Z: 4.21633, Velocity_in: X: -0.00300264, Y: 6.66559e-05, Z: 0.00234787, Error: X: 0.0320203, Y: 0.10141, Z: 4.21633, 
