Current Pose: X: -0.331836, Y: -0.391229, Z: 0.88201, Yaw: 1.4645, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.497754, Y: 0.586844, Z: -1.32301, Velocity_in: X: 0, Y: 0, Z: 0, Error: X: 0.331836, Y: 0.391229, Z: -0.88201, 
Current Pose: X: -0.331783, Y: -0.391297, Z: 0.882768, Yaw: 1.46447, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.497675, Y: 0.586945, Z: -1.32415, Velocity_in: X: 0.000828918, Y: -0.00238851, Z: 0.00779145, Error: X: 0.331783, Y: 0.391297, Z: -0.882768, 
Current Pose: X: -0.331721, Y: -0.391364, Z: 0.883441, Yaw: 1.4645, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.497581, Y: 0.587046, Z: -1.32516, Velocity_in: X: 0.000665799, Y: -0.00273982, Z: 0.00816487, Error: X: 0.331721, Y: 0.391364, Z: -0.883441, 
Current Pose: X: -0.331689, Y: -0.391429, Z: 0.883921, Yaw: 1.46453, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.497533, Y: 0.587143, Z: -1.32588, Velocity_in: X: 0.00043162, Y: -0.00304888, Z: 0.00831894, Error: X: 0.331689, Y: 0.391429, Z: -0.883921, 
Current Pose: X: -0.331647, Y: -0.391531, Z: 0.884549, Yaw: 1.46449, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.497471, Y: 0.587296, Z: -1.32682, Velocity_in: X: -1.9222e-05, Y: -0.00295774, Z: 0.00778546, Error: X: 0.331647, Y: 0.391531, Z: -0.884549, 
Current Pose: X: -0.331605, Y: -0.391641, Z: 0.885147, Yaw: 1.46455, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.497407, Y: 0.587462, Z: -1.32772, Velocity_in: X: -0.000129847, Y: -0.00299385, Z: 0.00764516, Error: X: 0.331605, Y: 0.391641, Z: -0.885147, 
Current Pose: X: -0.331565, Y: -0.39174, Z: 0.885667, Yaw: 1.46459, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.497348, Y: 0.58761, Z: -1.3285, Velocity_in: X: -0.000512666, Y: -0.00335101, Z: 0.00780739, Error: X: 0.331565, Y: 0.39174, Z: -0.885667, 
Current Pose: X: -0.331502, Y: -0.391857, Z: 0.886396, Yaw: 1.46465, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.497253, Y: 0.587786, Z: -1.32959, Velocity_in: X: -0.000528436, Y: -0.00304921, Z: 0.00809206, Error: X: 0.331502, Y: 0.391857, Z: -0.886396, 
Current Pose: X: -0.331412, Y: -0.391961, Z: 0.886996, Yaw: 1.46468, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.497117, Y: 0.587942, Z: -1.33049, Velocity_in: X: -0.000369456, Y: -0.00325219, Z: 0.00796525, Error: X: 0.331412, Y: 0.391961, Z: -0.886996, 
Current Pose: X: -0.331299, Y: -0.392074, Z: 0.887551, Yaw: 1.46465, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.496948, Y: 0.588111, Z: -1.33133, Velocity_in: X: -0.000416065, Y: -0.00384426, Z: 0.0078358, Error: X: 0.331299, Y: 0.392074, Z: -0.887551, 
Current Pose: X: -0.331222, Y: -0.39216, Z: 0.887922, Yaw: 1.46462, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.496833, Y: 0.58824, Z: -1.33188, Velocity_in: X: -0.00064737, Y: -0.00439767, Z: 0.00743149, Error: X: 0.331222, Y: 0.39216, Z: -0.887922, 
